Lampost,centerligh,lat,lon
39,262.0,31.251275277000047,34.82177111400006
44,128.0,31.251025304000052,34.817557699000076
45,128.0,31.250854126000036,34.81779346500008
46,128.0,31.250676766000026,34.81804331300003
4,128.0,31.250683765000076,34.819448445000035
27,128.0,31.25115723300007,34.816967119000026
26,128.0,31.25099024000008,34.81721424700004
25,128.0,31.250814613000045,34.81745905100007
33,262.0,31.250772511000037,34.820623503000036
32,262.0,31.25062537100007,34.82083829000004
36,262.0,31.25068742600007,34.82116404900006
37,262.0,31.250896182000076,34.82136650900003
38,262.0,31.251092560000075,34.82155834900004
28,128.0,31.251336561000073,34.81674655300003
28,262.0,31.24996186800007,34.82164353200005
29,262.0,31.250154617000078,34.82141296900005
30,262.0,31.250324999000043,34.821203585000035
31,262.0,31.250461302000076,34.82103628400006
24,128.0,31.25056216200005,34.817778986000064
23,128.0,31.250370435000036,34.81804774600005
22,128.0,31.25018138200005,34.81831159500007
21,128.0,31.249999682000066,34.81857487600007
3,128.0,31.250451232000046,34.81923852400007
47,128.0,31.250507623000033,34.81827507600008
5,262.0,31.252604546000043,34.82334142000008
4,262.0,31.25253232500006,34.82301346700007
3,262.0,31.252330210000025,34.822798144000046
8,262.0,31.25156622700007,34.82288698200006
10,262.0,31.251080745000024,34.823149414000056
9,262.0,31.251352669000028,34.82305802800005
12,262.0,31.25051277600005,34.82315604100006
11,262.0,31.25080652500003,34.823153932000025
9,128.0,31.251882783000042,34.82063765200007
10,128.0,31.252142953000032,34.82088633400008
7,128.0,31.25139259900004,34.82016172800007
8,128.0,31.25161806600005,34.820386101000054
5,128.0,31.250917410000056,34.81966450900006
35,262.0,31.25105141800003,34.82029338600006
34,262.0,31.25088630500005,34.820396146000064
10,127.0,31.258632000000034,34.811295408000035
9,127.0,31.258804720000057,34.81114205200004
8,127.0,31.259026163000044,34.810901569000066
6,127.0,31.259454482000024,34.81049087200006
2,127.0,31.260178350000047,34.80969323900007
14,126.0,31.26088014000004,34.807615688000055
13,126.0,31.260890264000068,34.80727274100008
12,126.0,31.26089764200003,34.80697516300006
11,126.0,31.260916294000026,34.80673633200007
10,126.0,31.26090294900007,34.80644608500006
9,126.0,31.26089997100007,34.80615443000005
19,126.0,31.260505443000056,34.80911849700004
16,142.0,31.244633744000055,34.80552325300005
15,142.0,31.244509919000052,34.805779888000075
14,142.0,31.24444250700003,34.80603779200004
13,142.0,31.244383783000046,34.806318298000065
8,142.0,31.244316233000063,34.807316832000026
7,142.0,31.244299410000053,34.807534933000056
6,142.0,31.244276186000036,34.80781279000007
5,142.0,31.24425822200004,34.80815833400004
4,142.0,31.244226432000062,34.80843868900007
3,142.0,31.244209304000037,34.80871434200003
1,142.0,31.244371861000047,34.80886507800005
9,142.0,31.24452881900004,34.80719038900003
11,142.0,31.24435253100006,34.80678783500008
6,128.0,31.251142689000062,34.819873115000064
21,128.0,31.247964144000036,34.81626546100006
29,143.0,31.24782341200006,34.816042035000066
28,143.0,31.247690421000073,34.815792765000026
27,143.0,31.247559152000065,34.81558527900006
26,143.0,31.24741876300004,34.81535969200007
25,143.0,31.24728105400004,34.81514022500005
24,143.0,31.24714183800006,34.814914886000054
23,143.0,31.24699807500008,34.814691949000064
19,143.0,31.246358418000057,34.81373376200003
20,143.0,31.246548501000063,34.81402057200006
21,143.0,31.246694027000046,34.81425630700005
22,143.0,31.246857379000062,34.814475698000024
9,143.0,31.244851668000024,34.81130981000007
8,143.0,31.244677310000043,34.81107077100006
7,143.0,31.24452471500007,34.81081673700004
6,143.0,31.24439572700004,34.81055870000006
5,143.0,31.244283523000036,34.81031511200007
3,143.0,31.244161845000065,34.80978055200006
4,143.0,31.24421353500003,34.810052609000024
13,143.0,31.24553329400004,34.81244946100003
14,143.0,31.245696647000045,34.812688395000066
15,143.0,31.245877851000046,34.81294712300007
16,143.0,31.246040134000054,34.81319965500006
17,143.0,31.246144293000043,34.81336496100005
39,143.0,31.24311385900006,34.81244581000004
38,143.0,31.243411868000067,34.81235428100007
37,143.0,31.24368770800004,34.81226585600007
33,143.0,31.244133117000047,34.81212718200004
34,143.0,31.24383986600003,34.81222037200007
32,143.0,31.244399988000055,34.81201077600008
31,143.0,31.24468681600007,34.81192022500005
12,143.0,31.24538879000005,34.812210149000066
11,143.0,31.245229144000064,34.81195920500005
10,143.0,31.245003508000025,34.811546822000025
19,262.0,31.248913321000032,34.82300139100005
18,143.0,31.24627466700008,34.81356470700007
14,128.0,31.24934032400006,34.81817969300005
13,128.0,31.24949095000005,34.81832895900004
12,128.0,31.249663672000054,34.81846022600007
92,127.0,31.257925112000066,34.813206078000064
95,127.0,31.25752531300003,34.81403868900003
14,127.0,31.25786688000005,34.81213651500008
15,127.0,31.257926892000057,34.812444191000054
17,127.0,31.25771178800005,34.811925700000074
12,127.0,31.258164399000066,34.81175366200006
102,127.0,31.256646025000066,34.81590456500004
104,127.0,31.256388747000074,34.816405935000034
108,127.0,31.256046325000057,34.815712303000055
107,127.0,31.256146870000066,34.81594200100005
106,127.0,31.256245293000063,34.81617401800003
118,127.0,31.256092614000067,34.814480985000046
117,127.0,31.256336454000063,34.81433534200005
42,142.0,31.24211223100008,34.805659321000064
43,142.0,31.24229239400006,34.80551602300005
2,147.0,31.242170435000048,34.805244870000024
8,147.0,31.241483189000064,34.80366495200008
9,147.0,31.241388433000054,34.803450404000046
12,147.0,31.241080784000076,34.80268835000004
14,147.0,31.240991012000052,34.80244729900005
44,126.0,31.26234699400004,34.806016396000075
45,126.0,31.26285963600003,34.80610326600004
40,126.0,31.261340399000062,34.80600331200003
39,126.0,31.261081712000077,34.80600263500003
48,126.0,31.263369992000037,34.80615105800007
46,126.0,31.26310737500006,34.80619761300005
47,126.0,31.26345126800004,34.80641192300004
22,147.0,31.24062281600004,34.80087518600004
18,147.0,31.24070393900007,34.80177719200003
20,147.0,31.240657659000078,34.801232302000074
21,147.0,31.240479295000057,34.80106780600005
19,147.0,31.240610222000043,34.80151247800006
50,147.0,31.239440418000072,34.79838181000002
49,147.0,31.23953219400005,34.79868385300006
48,147.0,31.239617673000055,34.79895145100005
45,147.0,31.239916281000035,34.79975701800004
44,147.0,31.23982948400004,34.800004201000036
